"Date","Currency","Mean","Buy","Sell"
"30/12/2022","US DOLLAR","123.3735","123.2735","123.4735"
"29/12/2022","US DOLLAR","123.3294","123.2294","123.4294"
"28/12/2022","US DOLLAR","123.2588","123.1588","123.3588"
"23/12/2022","US DOLLAR","123.2088","123.1088","123.3088"
"22/12/2022","US DOLLAR","123.1647","123.0647","123.2647"
"21/12/2022","US DOLLAR","123.1441","123.0441","123.2441"
"20/12/2022","US DOLLAR","123.0941","122.9941","123.1941"
"19/12/2022","US DOLLAR","123.0471","122.9471","123.1471"
"16/12/2022","US DOLLAR","122.9882","122.8882","123.0882"
"15/12/2022","US DOLLAR","122.9412","122.8412","123.0412"
"14/12/2022","US DOLLAR","122.8971","122.7971","122.9971"
"13/12/2022","US DOLLAR","122.8382","122.7382","122.9382"
"09/12/2022","US DOLLAR","122.7912","122.6912","122.8912"
"08/12/2022","US DOLLAR","122.7382","122.6382","122.8382"
"07/12/2022","US DOLLAR","122.6853","122.5853","122.7853"
"06/12/2022","US DOLLAR","122.6324","122.5324","122.7324"
"05/12/2022","US DOLLAR","122.5912","122.4912","122.6912"
"02/12/2022","US DOLLAR","122.5324","122.4324","122.6324"
"01/12/2022","US DOLLAR","122.5000","122.4000","122.6000"
"30/11/2022","US DOLLAR","122.4471","122.3471","122.5471"
"29/11/2022","US DOLLAR","122.3765","122.2765","122.4765"
"28/11/2022","US DOLLAR","122.3353","122.2353","122.4353"
"25/11/2022","US DOLLAR","122.2794","122.1794","122.3794"
"24/11/2022","US DOLLAR","122.2294","122.1294","122.3294"
"23/11/2022","US DOLLAR","122.1824","122.0824","122.2824"